,geometry,osid,theme,changetype,name1_text,name2_text,description,versiondate,name1_language,name2_language,routehierarchy,formspartofstreet,geometry_length_m,alternatename1_text,alternatename2_text,averagespeed_source,versionavailabletodate,alternatename1_language,alternatename2_language,averagespeed_updatedate,indicativespeedlimit_kph,indicativespeedlimit_mph,roadclassificationnumber,versionavailablefromdate,averagespeed_evidencedate,indicativespeedlimit_source,indicativespeedlimit_updatedate,averagespeed_mf4to7capturemethod,averagespeed_mf7to9capturemethod,averagespeed_ss4to7capturemethod,averagespeed_mf22to4capturemethod,averagespeed_mf9to12capturemethod,averagespeed_ss22to4capturemethod,averagespeed_ss7to10capturemethod,indicativespeedlimit_evidencedate,averagespeed_mf12to14capturemethod,averagespeed_mf14to16capturemethod,averagespeed_mf16to19capturemethod,averagespeed_mf19to22capturemethod,averagespeed_mf4to7indirection_kph,averagespeed_mf7to9indirection_kph,averagespeed_ss10to14capturemethod,averagespeed_ss14to19capturemethod,averagespeed_ss19to22capturemethod,averagespeed_ss4to7indirection_kph,indicativespeedlimit_capturemethod,averagespeed_mf22to4indirection_kph,averagespeed_mf9to12indirection_kph,averagespeed_ss22to4indirection_kph,averagespeed_ss7to10indirection_kph,averagespeed_mf12to14indirection_kph,averagespeed_mf14to16indirection_kph,averagespeed_mf16to19indirection_kph,averagespeed_mf19to22indirection_kph,averagespeed_ss10to14indirection_kph,averagespeed_ss14to19indirection_kph,averagespeed_ss19to22indirection_kph,averagespeed_mf4to7againstdirection_kph,averagespeed_mf7to9againstdirection_kph,averagespeed_ss4to7againstdirection_kph,averagespeed_mf22to4againstdirection_kph,averagespeed_mf9to12againstdirection_kph,averagespeed_ss22to4againstdirection_kph,averagespeed_ss7to10againstdirection_kph,averagespeed_mf12to14againstdirection_kph,averagespeed_mf14to16againstdirection_kph,averagespeed_mf16to19againstdirection_kph,averagespeed_mf19to22againstdirection_kph,averagespeed_ss10to14againstdirection_kph,averagespeed_ss14to19againstdirection_kph,averagespeed_ss19to22againstdirection_kph,distance_to_point,bearing_to_point,site
2,"LINESTRING (394403.5106304509 804755.2531007844, 394465.2682479613 804739.816952516)",10a2ae14-ab8a-41eb-8e23-c2ad2bcddc8e,Transport,Modified Attributes,Grampian Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601903'],63.658,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2020-07-02,Field Survey,Field Survey,Field Survey,Field Survey,26.4,26.4,Field Survey,Field Survey,Field Survey,36.9,Field Survey,27.0,16.3,27.0,35.2,32.4,31.7,26.7,32.4,24.0,28.3,29.0,31.4,30.6,36.9,30.1,31.5,30.1,30.7,28.3,30.6,31.4,28.2,35.6,34.0,30.1,26.233277589205823,222.83873022178472,ABD8
3,"LINESTRING (394465.2682479613 804739.816952516, 394479.51262461254 804736.2574748273)",1ea49d90-5f69-4276-ac50-f56c8fd9139c,Transport,Modified Attributes,Grampian Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601903'],14.681,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2020-07-02,Field Survey,Field Survey,Field Survey,Field Survey,22.1,6.4,Field Survey,Field Survey,Field Survey,24.6,Field Survey,30.3,33.6,30.3,39.1,29.9,33.8,4.8,35.2,4.7,8.1,25.1,22.1,23.5,24.6,33.0,31.9,33.0,35.7,18.7,19.0,26.9,16.4,30.7,17.2,23.8,79.18297828555215,226.9203265269951,ABD8
4,"LINESTRING (394475.1464937912 804699.5051837645, 394479.51262461254 804736.2574748273)",2d21f2d2-bc02-405d-9334-75380d9433c2,Transport,Modified Attributes,Walker Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601295'],37.012,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2020-07-02,Field Survey,Field Survey,Field Survey,Field Survey,27.2,17.4,Field Survey,Field Survey,Field Survey,28.2,Field Survey,12.1,20.8,29.6,19.0,14.2,14.0,18.4,18.2,19.5,3.5,12.6,27.2,19.0,28.2,29.6,24.0,29.6,14.0,19.2,24.5,25.4,22.5,23.0,20.8,12.6,93.31416383623201,207.47906944810737,ABD8
5,"LINESTRING (394422.5139611151 804827.2516697894, 394436.51690552285 804855.2519346823, 394439.6736408886 804861.9157346071)",2e1e51e3-c8b2-4ef6-8e4c-10a4c04ef6f0,Transport,Modified Attributes,Menzies Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['7600852'],38.682,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,27.2,23.2,Automated Process,Automated Process,Automated Process,28.2,Desk-Based,25.9,23.0,25.9,26.1,23.8,23.7,24.0,25.1,24.9,24.0,24.6,27.2,23.2,28.2,25.9,23.0,25.9,26.1,23.8,23.7,24.0,25.1,24.9,24.0,24.6,52.76120214920592,345.15536047717865,ABD8
6,"LINESTRING (394458.38257912645 804702.1441609104, 394475.1464937912 804699.5051837645)",35a9375b-894a-4d9f-9810-482192980057,Transport,Modified Attributes,Walker Gardens,,Average And Indicative Speed,2023-09-29,,,Local Road,['7604381'],16.977,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Automated Process,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,2020-07-02,Field Survey,Field Survey,Automated Process,Automated Process,27.2,17.1,Field Survey,Automated Process,Automated Process,28.2,Field Survey,25.9,14.8,25.9,26.1,21.1,19.3,24.0,25.1,16.1,24.0,24.6,27.2,11.9,28.2,25.9,17.9,25.9,26.1,21.1,21.1,24.0,25.1,16.1,24.0,24.6,99.45201628436155,190.12949439594786,ABD8
7,"LINESTRING (394380.51082971296 804761.2517923492, 394379.51294791664 804766.2514995466, 394398.59556801664 804838.4168319978)",4b8317a3-abe1-49cc-a5af-e12d191a1503,Transport,Modified Attributes,Wellington Road,,Average And Indicative Speed,2023-09-29,,,A Road,"['7601472', '7603016']",79.741,,,Basemap,,,,2023-08-17,48,30,A956,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,47.0,36.5,Field Survey,Field Survey,Field Survey,56.8,Desk-Based,45.7,46.0,48.0,43.8,46.7,37.5,32.2,51.3,37.3,48.4,52.3,,,,,,,,,,,,,,,13.682914454946907,24.30649727597131,ABD8
8,"LINESTRING (394368.51136574295 804542.2552040733, 394366.5085683446 804547.2563112343, 394361.5111314747 804562.2582302238, 394358.50996566407 804576.2554820415, 394355.51161499374 804592.2565133313, 394353.5130160051 804613.2544725263, 394353.5134585543 804622.2492220541, 394354.51177766564 804639.2577036845, 394355.51007326326 804656.2550538721, 394363.5137958395 804696.2527286462, 394373.5102587079 804737.2495404116, 394376.51583595265 804748.2550276592)",5670e60f-8716-45f3-87e5-242e7310b158,Transport,Modified Attributes,Wellington Road,,Average And Indicative Speed,2023-09-29,,,A Road,['7601472'],210.343,,,Basemap,,,,2023-08-17,48,30,A956,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2016-10-17,Field Survey,Field Survey,Field Survey,Field Survey,53.4,41.4,Field Survey,Field Survey,Field Survey,57.3,Desk-Based,48.4,50.4,50.5,51.5,51.3,43.9,34.4,53.1,43.9,53.0,55.4,40.2,38.3,52.6,48.6,44.1,46.8,48.3,39.1,31.2,35.1,49.4,46.8,48.4,48.8,38.721873596094326,210.8573200905662,ABD8
9,"LINESTRING (394479.51262461254 804736.2574748273, 394482.5133958104 804757.2596871902, 394491.51370371424 804792.2579326105, 394499.5128570783 804812.251464089, 394514.51011328254 804846.2508521983, 394532.51077266684 804881.2592573147, 394548.5149612707 804908.255306479, 394563.5148390218 804931.2563372238, 394570.9065775978 804941.1094646283)",657f92c5-a5bd-4d98-afcf-1e16b4d47397,Transport,Modified Attributes,Walker Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601295'],226.574,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2020-07-02,Field Survey,Field Survey,Field Survey,Field Survey,30.9,11.9,Field Survey,Field Survey,Field Survey,38.0,Field Survey,29.0,35.7,29.0,27.0,6.6,24.6,13.8,35.7,25.8,9.5,29.6,30.9,14.5,45.1,43.6,29.0,43.6,31.5,30.4,32.5,28.3,31.5,14.3,33.5,36.2,88.1846868312244,335.35346339839396,ABD8
10,"LINESTRING (394403.5106304509 804755.2531007844, 394390.5158394147 804756.2507212649, 394385.5145347314 804755.2557668684, 394381.5119849335 804754.2482995437, 394376.51583595265 804748.2550276592)",66819ad7-07e9-4e08-b9d5-49e270c1e6c6,Transport,Modified Attributes,Grampian Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601903'],30.071,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2020-07-02,Field Survey,Field Survey,Field Survey,Field Survey,10.8,7.2,Field Survey,Field Survey,Field Survey,11.9,Field Survey,16.1,8.9,16.1,12.2,8.2,7.9,11.4,15.6,9.2,14.7,16.9,,,,,,,,,,,,,,,25.00377523124511,163.17904038536392,ABD8
11,"LINESTRING (394444.44493772613 804704.3340394571, 394458.38257912645 804702.1441609104)",74d99d33-3221-45b6-b40b-fe9fc82a41ef,Transport,Modified Attributes,Walker Gardens,,Average And Indicative Speed,2023-09-29,,,Local Road,['7604381'],14.106,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Automated Process,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,2020-07-02,Field Survey,Field Survey,Automated Process,Automated Process,27.2,26.7,Field Survey,Automated Process,Automated Process,28.2,Field Survey,25.9,19.0,25.9,26.1,21.2,21.4,24.0,25.1,11.3,24.0,24.6,27.2,4.0,28.2,25.9,18.4,25.9,26.1,21.2,18.2,24.0,25.1,11.3,24.0,24.6,89.71335268640868,190.74448219405315,ABD8
12,"LINESTRING (394387.5133443363 804769.2571992766, 394404.51265257085 804823.2578299412, 394406.6096556574 804829.5445780343)",79c2c338-6fc2-4b0c-83cc-2553960f6981,Transport,Modified Attributes,Wellington Road,,Average And Indicative Speed,2023-09-29,,,A Road,"['7601472', '7603016']",63.243,,,Basemap,,,,2023-08-17,48,30,A956,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,38.8,35.7,50.9,26.6,42.0,24.3,47.8,37.8,31.7,34.0,45.1,44.9,45.5,45.2,6.072856622552303,1.4680180718788165,ABD8
13,"LINESTRING (394406.6096556574 804829.5445780343, 394411.2412914497 804843.4421952821)",859f6d00-984b-4b76-ad1d-e06a12e3b556,Transport,Modified Attributes,Wellington Road,,Average And Indicative Speed,2023-09-29,,,A Road,"['7603016', '7601472']",14.645,,,Basemap,,,,2023-08-17,48,30,A956,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,39.1,35.6,50.4,47.0,42.3,46.0,47.8,38.3,30.4,30.6,47.3,46.4,46.7,48.4,49.595302525812,352.46790654093326,ABD8
14,"LINESTRING (394398.59556801664 804838.4168319978, 394402.5142576952 804853.2505247961, 394405.5141329327 804860.2484793076, 394417.51546899736 804885.2569088287, 394421.5162554814 804898.2537072551, 394422.5158311557 804903.2506513089, 394422.51475962135 804911.2546476413, 394421.51632140815 804920.2507779404, 394420.5137578407 804926.2523737076, 394419.5172501238 804932.2539614257, 394416.51669840724 804942.2547462549, 394405.7973145483 804964.366815187)",932d8ce7-7512-41c0-8b49-1b14549706fa,Transport,Modified Attributes,Wellington Road,,Average And Indicative Speed,2023-09-29,,,A Road,"['7603016', '7601472']",133.629,,,Basemap,,,,2023-08-17,48,30,A956,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,39.6,28.7,Field Survey,Field Survey,Field Survey,47.2,Desk-Based,38.3,35.4,36.1,39.9,35.4,26.6,21.2,43.1,25.9,39.0,45.2,,,,,,,,,,,,,,,57.635980722182374,9.59019401084123,ABD8
15,"LINESTRING (394380.51082971296 804761.2517923492, 394384.5147478899 804763.2500153615, 394387.5133443363 804769.2571992766)",b34ce50f-36a6-4fb8-8d7e-49111325186f,Transport,Modified Attributes,Wellington Road,,Average And Indicative Speed,2023-09-29,,,A Road,"['7603016', '7601472']",11.18,,,Basemap,,,,2023-08-17,48,30,A956,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,48.1,43.9,59.1,54.1,50.1,52.5,56.2,44.7,35.9,34.9,56.3,53.1,53.9,55.4,15.263676402385562,142.21336700884297,ABD8
16,"LINESTRING (394411.2412914497 804843.4421952821, 394412.5177024143 804847.258749474, 394426.5148797082 804884.253742452, 394429.514691885 804891.2517146784, 394430.51563880884 804897.2505495655, 394431.51328795915 804905.2531710081, 394431.51825193164 804913.2571590203, 394431.5145275246 804919.346434278)",c07ab196-dbdb-45ff-b3bf-64535a1762cf,Transport,Modified Attributes,Wellington Road,,Average And Indicative Speed,2023-09-29,,,A Road,"['7601472', '7603016']",79.438,,,Basemap,,,,2023-08-17,48,30,A956,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,36.2,34.3,46.7,44.9,40.7,44.3,45.1,35.4,29.3,28.5,45.4,43.8,44.9,46.8,64.13805532705734,4.8938670631847,ABD8
17,"LINESTRING (394403.5106304509 804755.2531007844, 394395.5105861295 804761.2532534876, 394391.5122105973 804763.2514427273, 394387.5133443363 804769.2571992766)",c0e4d364-25b5-44d4-baa6-12bfaefd65d6,Transport,Modified Attributes,Grampian Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601903'],21.683,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2020-07-02,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Field Survey,,,,,,,,,,,,20.4,18.5,28.2,21.1,22.4,21.1,23.7,22.7,23.3,20.8,20.0,22.2,22.1,17.4,15.263676402385562,172.586242499891,ABD8
18,"LINESTRING (394429.8136865887 804866.615920761, 394439.6736408886 804861.9157346071)",c6bb84ca-3dad-41d3-982b-f47f416d525f,Transport,Modified Attributes,Menzies Road,,Average And Indicative Speed,2023-09-29,,,Local Road,[],10.917,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,27.2,23.2,Automated Process,Automated Process,Automated Process,28.2,Desk-Based,25.9,23.0,25.9,26.1,23.8,23.7,24.0,25.1,24.9,24.0,24.6,27.2,23.2,28.2,25.9,23.0,25.9,26.1,23.8,23.7,24.0,25.1,24.9,24.0,24.6,91.37277312479151,356.5189883008432,ABD8
19,"LINESTRING (394417.4580843925 804659.4085646287, 394424.075629095 804695.4674990098)",cc0358ba-0c34-4a8b-8375-390fa95f8767,Transport,Modified Attributes,Walker Gardens,,Average And Indicative Speed,2023-09-29,,,Local Road,['7604381'],36.665,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Automated Process,Automated Process,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,2020-07-02,Automated Process,Field Survey,Automated Process,Automated Process,27.2,21.2,Automated Process,Automated Process,Automated Process,28.2,Field Survey,25.9,20.8,25.9,26.1,23.8,25.9,24.0,25.1,24.9,24.0,24.6,27.2,21.2,28.2,25.9,18.4,25.9,26.1,23.8,24.9,24.0,25.1,24.9,24.0,24.6,89.3632929508303,174.95728398091728,ABD8
20,"LINESTRING (394424.075629095 804695.4674990098, 394424.27083665004 804696.5581774977, 394426.2225538586 804707.2089247621, 394443.76712757396 804704.4462914574, 394444.44493772613 804704.3340394571)",df96e09e-4bcc-419b-827c-b11509eb3c88,Transport,Modified Attributes,Walker Gardens,,Average And Indicative Speed,2023-09-29,,,Local Road,['7604381'],30.375,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Automated Process,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,2020-07-02,Field Survey,Field Survey,Automated Process,Automated Process,27.2,25.4,Field Survey,Automated Process,Automated Process,28.2,Field Survey,25.9,18.7,25.9,26.1,17.4,17.2,24.0,25.1,3.1,24.0,24.6,27.2,9.2,28.2,25.9,10.8,25.9,26.1,17.4,15.1,24.0,25.1,3.1,24.0,24.6,78.98539866194609,187.8976310171691,ABD8
21,"LINESTRING (394376.51583595265 804748.2550276592, 394380.51082971296 804761.2517923492)",efe6fa60-9a0e-478e-97b5-73bd542dc61a,Transport,Modified Attributes,Wellington Road,,Average And Indicative Speed,2023-09-29,,,A Road,['7601472'],13.601,,,Basemap,,,,2023-08-17,48,30,A956,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,52.0,39.9,Field Survey,Field Survey,Field Survey,61.5,Desk-Based,47.8,48.9,48.9,49.7,50.2,39.1,36.2,54.4,37.3,52.3,56.0,43.9,39.1,53.9,49.6,45.1,48.3,46.4,41.2,32.7,34.8,49.7,48.4,49.3,50.9,25.899483641773482,146.10721711083067,ABD8
0,"LINESTRING (375378.65900106414 165804.72673351242, 375364.2131956442 165795.99955784885, 375347.09446826286 165785.65051354968)",05b8e9df-2011-4da7-bd5e-4a7b8983af20,Transport,Modified Attributes,London Road,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['47950011', '47900006']",36.879,,,Basemap,,,,2023-08-17,48,30,A4,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2020-01-28,Field Survey,Field Survey,Field Survey,Field Survey,17.1,10.6,Field Survey,Field Survey,Field Survey,37.7,Field Survey,35.4,10.1,35.4,14.2,12.9,11.8,16.4,28.0,11.3,17.4,27.8,33.6,24.0,41.7,40.4,23.5,38.8,29.1,21.7,16.9,14.2,33.6,21.9,22.4,33.2,24.969673265233293,129.2585205773745,BHA4
1,"LINESTRING (375347.09446826286 165785.65051354968, 375341.09630306554 165795.64464891877, 375340.9302280609 165795.83452368464, 375335.0975468727 165802.64706638613, 375324.0964994681 165812.64328099595)",0bf81443-6cbd-4b59-ab65-335cae590e23,Transport,Modified Attributes,Thomas Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['47901386'],35.748,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Field Survey,Field Survey,Field Survey,Automated Process,2020-01-28,Field Survey,Field Survey,Field Survey,Field Survey,24.8,21.2,Field Survey,Field Survey,Automated Process,28.7,Field Survey,19.0,10.8,19.0,25.9,11.9,16.7,19.2,13.0,11.8,13.7,25.8,24.8,21.2,28.7,19.0,8.4,19.0,25.9,5.3,6.1,7.2,14.0,8.7,4.0,25.8,59.89785804030117,98.7326428563627,BHA4
2,"LINESTRING (375440.7763475802 165846.76610945148, 375439.7332082374 165845.44767650974, 375436.631780311 165841.5256085645)",0d5d9000-d815-4353-8e46-02482d1b5fb6,Transport,Modified Attributes,London Road,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['47900006', '47950011']",6.678,,,Basemap,,,,2023-08-17,48,30,A4,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2020-01-28,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Field Survey,,,,,,,,,,,,36.7,28.8,44.4,43.6,26.1,42.0,31.1,23.5,20.4,20.1,36.7,27.2,25.3,37.2,46.31675667999597,323.6618950670278,BHA4
3,"LINESTRING (375456.1795029172 165857.83554431848, 375442.8626246563 165849.4029759721, 375440.7763475802 165846.76610945148)",0e01d058-7db4-4b58-bf68-f126342703a2,Transport,Modified Attributes,London Road,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['47900006', '47950011']",19.131,,,Basemap,,,,2023-08-17,48,30,A4,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2020-01-28,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Field Survey,,,,,,,,,,,,36.1,27.8,44.3,43.6,24.9,41.8,34.8,23.0,18.0,18.4,37.7,25.1,23.2,39.0,52.179328773797884,336.3026872105625,BHA4
4,"LINESTRING (375314.53419663955 165880.9879136143, 375311.3352992334 165878.50108998857)",211a1aa9-ca86-47da-944f-27c637877f26,Transport,Modified Attributes,Snow Hill,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,['47960519'],4.05,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2020-01-28,Automated Process,Automated Process,Automated Process,Automated Process,21.6,18.2,Automated Process,Automated Process,Automated Process,23.8,Field Survey,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,96.80333929568816,346.9160542777892,BHA4
5,"LINESTRING (375439.473089601 165938.40381709684, 375438.0960096965 165935.65230469184, 375432.0978969331 165922.64672855963, 375423.0960052898 165908.64362529013, 375418.0962116073 165900.6491053335, 375414.0977189442 165889.6468922355)",242e79b5-7a30-4f39-813d-314192ca06f8,Transport,Modified Attributes,Snow Hill,,Average And Indicative Speed,2023-09-29,,,Local Road,['47901345'],55.18,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2016-05-26,Field Survey,Field Survey,Field Survey,Field Survey,27.8,16.9,Field Survey,Field Survey,Automated Process,28.7,Desk-Based,30.1,23.3,28.3,45.2,27.5,25.8,27.8,30.1,33.0,26.6,25.8,25.8,21.4,28.7,28.3,23.2,28.3,45.2,26.2,26.1,25.6,30.1,33.0,26.6,25.8,67.99795312497571,22.45750823342189,BHA4
6,"LINESTRING (375308.4786354102 165876.27952427982, 375305.09812259366 165873.64900594816)",2458e00c-c0f0-476e-a29a-d100e9848e4b,Transport,Modified Attributes,Snow Hill,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,['47960519'],4.287,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2020-01-28,Automated Process,Automated Process,Automated Process,Automated Process,21.6,18.2,Automated Process,Automated Process,Automated Process,23.8,Field Survey,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,99.28039768720674,353.05942847088534,BHA4
7,"LINESTRING (375443.5516181151 165842.2372918232, 375446.5659835054 165842.54524384096, 375455.9803060272 165848.2941187201)",2c83ae59-009a-4dd3-97a0-47db65d08797,Transport,Modified Attributes,London Road,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['47900006', '47950011']",14.06,,,Basemap,,,,2023-08-17,48,30,A4,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2019-11-10,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,30.1,22.7,37.5,36.9,22.1,36.4,27.4,25.1,23.5,24.6,30.9,24.9,30.1,35.2,53.06104440720089,323.19177296508354,BHA4
8,"LINESTRING (375507.4849897762 165828.21550620126, 375479.84271658264 165814.3244910626)",41315b41-7623-471d-920d-2dc35ded8f50,Transport,Modified Attributes,,,Average And Indicative Speed,2023-09-29,,,Restricted Secondary Access Road,['47961555'],30.94,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2020-01-28,Automated Process,Automated Process,Automated Process,Automated Process,25.9,22.1,Automated Process,Automated Process,Automated Process,30.6,Field Survey,29.8,19.3,26.4,24.6,19.0,19.5,21.2,22.2,21.2,21.1,23.0,25.9,22.1,30.6,29.8,19.3,26.4,24.6,19.0,19.5,21.2,22.2,21.2,21.1,23.0,87.07107517188551,307.22118765310717,BHA4
9,"LINESTRING (375420.3996806041 165869.09691011952, 375423.1587441126 165864.101049499, 375426.77306528407 165857.54401845328)",4a34a34e-6c6c-4cca-bfda-b146bf59aff1,Transport,Modified Attributes,Snow Hill,,Average And Indicative Speed,2023-09-29,,,Local Road,['47901345'],13.2,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2020-01-28,Field Survey,Field Survey,Field Survey,Automated Process,19.3,5.5,Field Survey,Field Survey,Automated Process,28.7,Field Survey,47.5,8.1,24.9,47.5,21.4,16.7,29.1,23.8,5.3,5.3,25.8,24.5,13.0,28.7,24.9,17.7,24.9,47.5,10.5,15.8,23.3,23.8,13.2,5.3,25.8,46.69479301676703,354.72307809220456,BHA4
